Date ,Site,Depth,sample_depth,epi,Time,Chl-a,pH,Temp,St.C,Conductivity,DO,Saturation,Secchi,Light,change_in_PAR,Light at surface,elevation,visit,watershed,sample_num,SA_m2,max_depth,fish,Elevation
7/8/16,Blue Lake,0,sur,1,9:11,0.520507659,6.75,2.8,8,4,8.23,60.9,6.25,1472,1,0.592391304,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,1,NA,NA,9:13,NA,6.78,2.8,9,5,8.14,60.1,6.25,872,0.592391304,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,2,NA,NA,9:14,NA,6.72,2.73,10,6,8.14,60.2,6.25,690,0.46875,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,3,NA,NA,9:16,NA,6.67,2.72,9,6,8.05,59.4,6.25,530,0.360054348,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,4,NA,NA,9:19,NA,6.57,7.72,10,6,8.11,59.8,6.25,328,0.222826087,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,5,NA,NA,9:21,NA,6.55,2.65,9,5,8.07,59.4,6.25,244,0.16576087,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,6,NA,NA,9:22,NA,6.52,2.65,9,5,8.21,60.3,6.25,218,0.148097826,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,7,NA,NA,9:23,NA,6.51,2.65,9,5,8.19,60.3,6.25,145,0.098505435,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,8,NA,NA,9:23,NA,6.48,2.64,9,5,8.17,60.1,6.25,95.5,0.064877717,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,9,NA,NA,9:24,NA,6.49,2.65,9,6,8.16,60,6.25,96.3,0.065421196,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,10,NA,NA,9:26,NA,6.49,2.66,9,5,8.11,59.7,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,11,NA,NA,9:28,NA,6.45,2.67,9,5,8.11,59.7,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,12,NA,NA,9:29,NA,6.49,2.67,9,5,8.13,59.9,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,13,NA,NA,9:30,NA,6.49,2.67,9,5,8.07,59.4,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,14,NA,NA,9:32,NA,6.55,2.67,9,5,8.08,59.5,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,15,NA,NA,9:33,NA,6.47,2.67,9,5,8.07,59.5,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,16,NA,NA,9:35,NA,6.48,2.68,10,5,8.03,59.2,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,17,NA,NA,9:36,1.561522977,6.47,2.7,9,5,8.06,59.3,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,18,NA,NA,9:37,NA,6.46,2.7,9,5,8.07,59.5,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/8/16,Blue Lake,19,hypo,0,9:39,NA,6.49,2.71,9,5,8.02,59.2,6.25,NA,NA,NA,3449,one,Toll,1,91581,42,0,3461
7/25/16,Blue Lake,0,sur,1,9:23,3.160225072,7.18,7.85,9,6,6.76,56.8,3.5,1334,1,0.625187406,3449,two,Toll,3,91581,42,0,3461
7/25/16,Blue Lake,1,NA,NA,9:25,NA,7.2,7.82,8,5,6.69,56.2,3.5,834,0.625187406,NA,3449,two,Toll,3,91581,42,0,3461
7/25/16,Blue Lake,2,NA,NA,9:28,NA,7.19,7.59,8,5,6.78,56.8,3.5,394,0.295352324,NA,3449,two,Toll,3,91581,42,0,3461
